회원번호,카테고리
1009,19
1009,21
1010,9
1010,12
1010,19
1010,0
1010,18
1010,23
1011,0
1012,13
1013,6
1014,0
1015,23
1015,8
1015,3
1015,5
1016,13
1016,10
1016,14
1016,16
1017,0
1017,18
1017,7
1018,6
1018,0
1018,13
1019,0
1020,7
1021,17
1021,5
1022,17
1022,21
1022,13
1022,10
1022,6
1023,0
1023,13
1024,14
1024,13
1025,11
1025,18
1025,0
1026,10
1026,5
1027,11
1028,11
1029,21
1030,7
1030,6
1031,0
1031,1
1032,0
1033,5
1033,10
1034,13
1034,7
1035,1
1036,0
1037,1
1037,10
1038,11
1038,13
1039,13
1039,5
1039,6
1039,19
1040,2
1041,0
1042,0
1043,11
1043,0
1043,13
1044,0
1044,24
1044,3
1044,20
1044,22
1045,7
1046,10
1046,9
1047,13
1048,0
1049,14
1050,0
1051,21
1052,18
1052,1
1053,9
1053,0
1054,6
1055,20
1056,1
1056,8
1057,0
1057,6
1058,0
1058,13
1058,8
1059,7
1059,6
1060,0
1061,19
1061,18
1061,14
1061,5
1061,4
1061,9
1061,12
1061,7
1061,16
1061,1
1062,2
1062,7
1063,10
1064,6
1065,2
1066,0
1067,19
1067,0
1067,10
1067,14
1067,13
1067,16
1067,3
1067,8
1068,0
1068,13
1069,13
1069,0
1070,13
1071,3
1071,0
1071,5
1071,8
1072,1
1073,16
1074,7
1074,13
1075,0
1075,17
1075,7
1076,5
1076,2
1076,20
1076,0
1076,10
1077,0
1078,14
1078,19
1078,0
1078,13
1078,7
1079,0
1080,7
1080,14
1081,10
1081,5
1082,10
1083,11
1084,4
1085,5
1085,0
1085,1
1086,0
1086,11
1086,24
1087,0
1088,16
1088,10
1088,13
1088,17
1089,0
1089,13
1090,3
1091,0
1091,13
1091,10
1092,1
1093,11
1094,23
1095,6
1096,5
1096,17
1096,19
1097,1
1098,13
1099,11
1100,8
1101,0
1102,8
1102,6
1103,6
1104,18
1105,13
1105,8
1106,11
1106,18
1107,6
1108,17
1109,15
1110,0
1110,11
1111,6
1111,13
1111,7
1112,17
1113,8
1114,0
1114,18
1114,12
1114,7
1115,9
1116,7
1117,13
1118,7
1119,10
1119,8
1119,21
1120,7
1121,1
1121,10
1121,19
1121,5
1121,21
1122,10
1122,5
1122,8
1122,4
1122,16
1123,1
1124,13
1125,23
1126,1
1126,8
1127,13
1128,17
1129,12
1130,13
1131,5
1132,8
1132,3
1132,16
1133,13
1134,19
1134,21
1134,5
1134,10
1134,14
1135,0
1135,1
1135,8
1136,0
1137,18
1138,10
1139,7
1140,0
1141,15
1141,4
1142,0
1142,2
1143,19
1143,9
1143,10
1143,0
1143,16
1143,2
1143,5
1144,5
1144,1
1145,7
1146,0
1146,13
1146,11
1147,9
1148,3
1148,19
1148,16
1148,11
1149,19
1150,0
1151,9
1152,0
1153,2
1153,10
1154,5
1154,0
1155,10
1155,1
1156,10
1157,8
1157,1
1157,10
1157,19
1158,1
1159,9
1159,10
1159,0
1159,19
1159,5
1160,0
1160,1
1161,10
1162,4
1163,0
1163,6
1163,7
1164,1
1165,3
1166,6
1167,13
1168,0
1168,14
1168,10
1168,19
1168,1
1169,5
1169,4
1169,10
1169,18
1170,5
1170,10
1170,19
1170,17
1170,14
1170,3
1171,8
1172,11
1172,16
1173,17
1174,0
1175,13
1175,3
1176,19
1176,13
1177,11
1178,18
1178,14
1178,0
1179,0
1180,13
1181,0
1181,10
1182,1
1182,8
1182,0
1183,17
1183,14
1183,19
1183,0
1183,8
1184,0
1185,1
1185,3
1185,12
1185,10
1185,6
1185,7
1185,18
1186,8
1186,1
1187,5
1187,10
1188,13
1189,0
1190,0
1191,8
1192,6
1192,10
1193,0
1194,0
1194,1
1195,1
1196,13
1197,16
1198,4
1198,5
1198,9
1198,0
1198,3
1198,7
1198,10
1198,8
1198,21
1199,6
1200,0
1200,2
1201,5
1202,0
1203,17
1204,23
1204,5
1205,14
1205,7
1205,9
1205,5
1205,6
1206,8
1207,7
1207,6
1208,0
1208,12
1208,19
1208,14
1208,5
1209,0
1210,13
1210,14
1211,13
1211,6
1212,13
1212,11
1212,7
1213,13
1214,0
1214,14
1215,11
1215,12
1215,16
1215,6
1216,5
1217,0
1217,24
1218,13
1218,10
1219,0
1220,10
1220,16
1221,0
1221,18
1221,10
1221,19
1221,23
1221,9
1221,2
1222,13
1223,11
1224,10
1224,13
1224,19
1224,5
1224,12
1225,11
1225,13
1226,17
1227,11
1228,3
1229,0
1229,14
1229,11
1230,24
1230,0
1231,13
1232,13
1232,11
1233,5
1233,17
1234,10
1234,13
1235,0
1235,10
1236,10
1236,21
1236,13
1236,3
1236,18
1236,0
1237,5
1238,23
1238,15
1239,0
1240,11
1240,14
1240,0
1241,0
1241,11
1241,6
1242,13
1242,1
1242,8
1243,7
1244,0
1244,1
1244,10
1244,5
1245,13
1246,7
1247,20
1247,16
1247,11
1248,0
1249,8
1249,13
1249,16
1250,8
1251,8
1252,3
1253,7
1253,11
1253,13
1254,13
1255,10
1255,3
1256,19
1256,14
1256,16
1257,7
1257,11
1257,9
1258,10
1258,7
1259,3
1260,0
1261,12
1262,13
1262,11
1262,0
1263,13
1264,6
1264,18
1265,13
1265,14
1266,1
1266,13
1267,9
1268,0
1268,7
1269,0
1270,0
1270,2
1271,11
1272,11
1273,10
1273,8
1274,1
1275,0
1275,16
1276,5
1276,18
1276,10
1276,19
1276,14
1276,12
1276,13
1276,16
1276,11
1276,7
1276,6
1277,14
1278,11
1279,1
1280,3
1281,0
1282,0
1283,6
1284,11
1285,14
1286,10
1287,24
1288,17
1289,3
1289,13
1289,9
1289,12
1289,0
1289,18
1290,0
1291,3
1291,0
1292,0
1293,13
1293,14
1293,0
1293,3
1294,1
1295,10
1295,6
1296,5
1296,10
1296,17
1297,10
1297,9
1297,5
1297,3
1298,10
1298,8
1299,19
1300,17
1301,7
1302,5
1303,5
1303,7
1303,0
1303,13
1303,11
1303,6
1303,3
1304,7
1304,18
1305,6
1305,18
1306,13
1307,6
1307,7
1307,18
1307,11
1308,11
1309,13
1309,0
1309,6
1310,1
1311,19
1311,10
1311,5
1312,7
1312,6
1313,21
1313,13
1313,3
1313,14
1313,0
1314,8
1315,8
1316,21
1317,0
1317,13
1317,1
1318,10
1318,3
1319,13
1319,6
1319,12
1319,7
1319,14
1320,1
1320,11
1321,0
1322,0
1322,10
1322,8
1322,7
1322,2
1322,5
1323,1
1324,5
1325,0
1326,13
1327,11
1327,7
1328,9
1328,18
1328,2
1328,13
1328,5
1328,7
1329,18
1330,13
1331,19
1332,2
1332,10
1332,0
1332,5
1333,13
1334,19
1334,18
1334,6
1335,8
1335,0
1335,13
1336,10
1337,3
1337,0
1338,10
1338,14
1338,5
1339,19
1339,10
1339,12
1339,21
1340,14
1340,0
1340,5
1341,9
1342,0
1343,7
1343,11
1343,13
1343,0
1344,2
1344,14
1344,11
1344,5
1344,8
1345,3
1345,9
1346,0
1346,3
1347,3
1347,0
1348,16
1348,19
1348,10
1348,23
1348,2
1348,14
1348,0
1348,12
1348,8
1348,5
1348,1
1348,7
1349,11
1350,13
1350,5
1350,10
1351,9
1352,8
1352,13
1353,13
1354,10
1355,13
1356,13
1356,11
1357,3
1357,10
1357,13
1357,19
1358,0
1359,13
1359,5
1359,0
1359,6
1359,1
1359,10
1359,7
1360,13
1361,5
1361,10
1362,4
1363,5
1363,10
1364,1
1365,7
1366,10
1367,0
1368,0
1369,0
1370,3
1371,0
1372,14
1372,10
1373,9
1373,12
1373,2
1373,5
1373,19
1374,13
1374,17
1374,14
1374,16
1374,5
1374,24
1375,19
1375,21
1375,10
1376,7
1376,0
1376,11
1377,11
1378,13
1378,12
1379,13
1379,11
1379,10
1379,3
1380,5
1380,17
1380,14
1380,0
1380,18
1381,1
1381,13
1381,7
1382,21
1383,4
1383,11
1384,14
1384,18
1385,9
1386,10
1386,1
1386,0
1387,6
1388,21
1389,6
1390,5
1390,1
1391,7
1391,8
1391,11
1391,13
1391,0
1392,5
1392,13
1392,0
1393,13
1393,9
1393,3
1394,6
1394,7
1395,1
1395,6
1396,13
1397,6
1398,10
1398,1
1398,19
1398,16
1398,14
1398,8
1399,7
1400,10
1401,5
1401,3
1401,23
1401,8
1402,0
1402,23
1402,11
1403,7
1404,21
1405,5
1405,10
1406,10
1406,5
1407,9
1408,13
1409,5
1409,3
1410,6
1411,2
1411,10
1411,3
1412,9
1412,12
1412,11
1412,0
1412,7
1412,14
1413,11
1413,24
1413,8
1414,0
1414,11
1414,9
1414,18
1415,16
1415,13
1415,6
1415,7
1416,10
1416,5
1416,2
1416,0
1416,11
1417,9
1417,7
1418,11
1419,10
1419,9
1420,14
1420,17
1420,19
1420,8
1421,0
1421,11
1422,6
1423,1
1424,10
1424,14
1424,1
1424,23
1424,19
1425,19
1426,11
1426,5
1426,0
1427,23
1428,1
1429,0
1430,13
1431,11
1431,10
1431,4
